file_name,canonical_issue_date,canonical_year,canonical_month,n_paragraphs_raw,n_paragraphs_filtered,keep_rate_pct,n_identity_labeled,identity_labeled_pct,n_panethnic_appeared,panethnic_appeared_pct,n_ethnic_appeared,ethnic_appeared_pct,n_both_labels,both_labels_pct,n_invisibility,invisibility_pct,n_funding,funding_pct
1971_06.pdf,1971-06-01,1971,6,82,63,76.8293,13,20.6349,5,7.9365,11,17.4603,3,4.7619,0,0.0,15,23.8095
1971_08.pdf,1971-08-01,1971,8,57,52,91.2281,30,57.6923,4,7.6923,29,55.7692,3,5.7692,0,0.0,10,19.2308
1971_10.pdf,1971-10-01,1971,10,97,83,85.567,3,3.6145,0,0.0,3,3.6145,0,0.0,0,0.0,14,16.8675
1972_06.pdf,1972-06-01,1972,6,325,295,90.7692,82,27.7966,15,5.0847,70,23.7288,3,1.0169,3,1.0169,15,5.0847
1972_08.pdf,1972-08-01,1972,8,402,362,90.0498,120,33.1492,38,10.4972,91,25.1381,9,2.4862,1,0.2762,31,8.5635
1972_10.pdf,1972-10-01,1972,10,387,341,88.1137,114,33.4311,41,12.0235,82,24.0469,9,2.6393,2,0.5865,25,7.3314
1972_11.pdf,1972-11-01,1972,11,629,548,87.1224,187,34.1241,62,11.3139,133,24.2701,8,1.4599,7,1.2774,44,8.0292
1973_03.pdf,1973-03-01,1973,3,73,57,78.0822,25,43.8596,11,19.2982,19,33.3333,5,8.7719,0,0.0,17,29.8246
1973_04.pdf,1973-04-01,1973,4,18,17,94.4444,4,23.5294,0,0.0,4,23.5294,0,0.0,1,5.8824,7,41.1765
1973_05.pdf,1973-05-01,1973,5,165,111,67.2727,40,36.036,23,20.7207,27,24.3243,10,9.009,2,1.8018,26,23.4234
1973_06.pdf,1973-06-01,1973,6,41,31,75.6098,16,51.6129,7,22.5806,12,38.7097,3,9.6774,1,3.2258,13,41.9355
1973_07.pdf,1973-07-01,1973,7,51,25,49.0196,12,48.0,0,0.0,12,48.0,0,0.0,0,0.0,7,28.0
1973_08.pdf,1973-08-01,1973,8,17,13,76.4706,8,61.5385,6,46.1538,4,30.7692,2,15.3846,0,0.0,5,38.4615
