from,to,edge_type,edge_group,weight_n,weight_rate
panethnic_hub,civil rights,hub_term,Panethnic Hub,102,0.085427
ethnic_hub,civil rights,hub_term,Ethnic Hub,109,0.094536
panethnic_hub,health education welfare,hub_term,Panethnic Hub,86,0.072027
ethnic_hub,health education welfare,hub_term,Ethnic Hub,61,0.052905
panethnic_hub,bilingual education,hub_term,Panethnic Hub,83,0.069514
ethnic_hub,bilingual education,hub_term,Ethnic Hub,53,0.045967
panethnic_hub,labor department,hub_term,Panethnic Hub,72,0.060302
ethnic_hub,labor department,hub_term,Ethnic Hub,39,0.033825
panethnic_hub,legal defense,hub_term,Panethnic Hub,36,0.030151
ethnic_hub,legal defense,hub_term,Ethnic Hub,63,0.05464
panethnic_hub,economic development,hub_term,Panethnic Hub,50,0.041876
ethnic_hub,economic development,hub_term,Ethnic Hub,55,0.047702
panethnic_hub,high school,hub_term,Panethnic Hub,33,0.027638
ethnic_hub,high school,hub_term,Ethnic Hub,50,0.043365
panethnic_hub,social economic,hub_term,Panethnic Hub,48,0.040201
ethnic_hub,social economic,hub_term,Ethnic Hub,27,0.023417
panethnic_hub,justice department,hub_term,Panethnic Hub,43,0.036013
ethnic_hub,justice department,hub_term,Ethnic Hub,31,0.026886
panethnic_hub,farm workers,hub_term,Panethnic Hub,38,0.031826
ethnic_hub,farm workers,hub_term,Ethnic Hub,40,0.034692
panethnic_hub,employment opportunity,hub_term,Panethnic Hub,44,0.036851
ethnic_hub,employment opportunity,hub_term,Ethnic Hub,19,0.016479
panethnic_hub,school district,hub_term,Panethnic Hub,22,0.018425
ethnic_hub,school district,hub_term,Ethnic Hub,41,0.035559
panethnic_hub,mental health,hub_term,Panethnic Hub,35,0.029313
ethnic_hub,mental health,hub_term,Ethnic Hub,37,0.03209
panethnic_hub,equal employment,hub_term,Panethnic Hub,42,0.035176
ethnic_hub,equal employment,hub_term,Ethnic Hub,18,0.015611
panethnic_hub,supreme court,hub_term,Panethnic Hub,23,0.019263
ethnic_hub,supreme court,hub_term,Ethnic Hub,39,0.033825
panethnic_hub,federal agency,hub_term,Panethnic Hub,38,0.031826
ethnic_hub,federal agency,hub_term,Ethnic Hub,24,0.020815
panethnic_hub,health care,hub_term,Panethnic Hub,32,0.026801
ethnic_hub,health care,hub_term,Ethnic Hub,32,0.027754
panethnic_hub,district court,hub_term,Panethnic Hub,28,0.023451
ethnic_hub,district court,hub_term,Ethnic Hub,32,0.027754
panethnic_hub,bilingual bicultural,hub_term,Panethnic Hub,29,0.024288
ethnic_hub,bilingual bicultural,hub_term,Ethnic Hub,30,0.026019
panethnic_hub,affirmative action,hub_term,Panethnic Hub,33,0.027638
ethnic_hub,affirmative action,hub_term,Ethnic Hub,20,0.017346
panethnic_hub,voting rights,hub_term,Panethnic Hub,33,0.027638
ethnic_hub,voting rights,hub_term,Ethnic Hub,20,0.017346
panethnic_hub,higher education,hub_term,Panethnic Hub,30,0.025126
ethnic_hub,higher education,hub_term,Ethnic Hub,23,0.019948
panethnic_hub,minority women,hub_term,Panethnic Hub,25,0.020938
ethnic_hub,minority women,hub_term,Ethnic Hub,19,0.016479
panethnic_hub,community development,hub_term,Panethnic Hub,22,0.018425
ethnic_hub,community development,hub_term,Ethnic Hub,23,0.019948
panethnic_hub,defense educational,hub_term,Panethnic Hub,17,0.014238
ethnic_hub,defense educational,hub_term,Ethnic Hub,25,0.021683
panethnic_hub,small business,hub_term,Panethnic Hub,27,0.022613
ethnic_hub,small business,hub_term,Ethnic Hub,13,0.011275
