from,to,edge_type,edge_group,weight_n,weight_rate
panethnic_hub,civil rights,hub_phrase,Panethnic Hub,102,0.067864
ethnic_hub,civil rights,hub_phrase,Ethnic Hub,109,0.073698
panethnic_hub,bilingual education,hub_phrase,Panethnic Hub,73,0.04857
ethnic_hub,bilingual education,hub_phrase,Ethnic Hub,43,0.029074
panethnic_hub,executive director,hub_phrase,Panethnic Hub,48,0.031936
ethnic_hub,executive director,hub_phrase,Ethnic Hub,56,0.037863
panethnic_hub,economic development,hub_phrase,Panethnic Hub,50,0.033267
ethnic_hub,economic development,hub_phrase,Ethnic Hub,53,0.035835
panethnic_hub,legal defense,hub_phrase,Panethnic Hub,36,0.023952
ethnic_hub,legal defense,hub_phrase,Ethnic Hub,63,0.042596
panethnic_hub,white house,hub_phrase,Panethnic Hub,56,0.037259
ethnic_hub,white house,hub_phrase,Ethnic Hub,29,0.019608
panethnic_hub,high school,hub_phrase,Panethnic Hub,32,0.021291
ethnic_hub,high school,hub_phrase,Ethnic Hub,50,0.033807
panethnic_hub,health education,hub_phrase,Panethnic Hub,43,0.028609
ethnic_hub,health education,hub_phrase,Ethnic Hub,31,0.02096
panethnic_hub,farm workers,hub_phrase,Panethnic Hub,37,0.024617
ethnic_hub,farm workers,hub_phrase,Ethnic Hub,37,0.025017
panethnic_hub,mental health,hub_phrase,Panethnic Hub,35,0.023287
ethnic_hub,mental health,hub_phrase,Ethnic Hub,37,0.025017
panethnic_hub,department labor,hub_phrase,Panethnic Hub,44,0.029275
ethnic_hub,department labor,hub_phrase,Ethnic Hub,21,0.014199
panethnic_hub,health care,hub_phrase,Panethnic Hub,32,0.021291
ethnic_hub,health care,hub_phrase,Ethnic Hub,31,0.02096
panethnic_hub,education welfare,hub_phrase,Panethnic Hub,36,0.023952
ethnic_hub,education welfare,hub_phrase,Ethnic Hub,26,0.017579
panethnic_hub,department health,hub_phrase,Panethnic Hub,35,0.023287
ethnic_hub,department health,hub_phrase,Ethnic Hub,27,0.018256
panethnic_hub,school district,hub_phrase,Panethnic Hub,21,0.013972
ethnic_hub,school district,hub_phrase,Ethnic Hub,40,0.027045
panethnic_hub,board directors,hub_phrase,Panethnic Hub,32,0.021291
ethnic_hub,board directors,hub_phrase,Ethnic Hub,29,0.019608
panethnic_hub,supreme court,hub_phrase,Panethnic Hub,22,0.014637
ethnic_hub,supreme court,hub_phrase,Ethnic Hub,38,0.025693
panethnic_hub,york city,hub_phrase,Panethnic Hub,36,0.023952
ethnic_hub,york city,hub_phrase,Ethnic Hub,24,0.016227
panethnic_hub,equal employment,hub_phrase,Panethnic Hub,41,0.027279
ethnic_hub,equal employment,hub_phrase,Ethnic Hub,18,0.01217
panethnic_hub,antonio texas,hub_phrase,Panethnic Hub,25,0.016633
ethnic_hub,antonio texas,hub_phrase,Ethnic Hub,32,0.021636
panethnic_hub,bilingual bicultural,hub_phrase,Panethnic Hub,27,0.017964
ethnic_hub,bilingual bicultural,hub_phrase,Ethnic Hub,29,0.019608
panethnic_hub,east angeles,hub_phrase,Panethnic Hub,19,0.012641
ethnic_hub,east angeles,hub_phrase,Ethnic Hub,35,0.023665
panethnic_hub,affirmative action,hub_phrase,Panethnic Hub,33,0.021956
