year_month,group,n_paragraphs,domain_business_development_n,domain_business_development_per100,domain_civil_rights_voting_n,domain_civil_rights_voting_per100,domain_criminal_justice_n,domain_criminal_justice_per100,domain_education_n,domain_education_per100,domain_employment_labor_n,domain_employment_labor_per100,domain_health_n,domain_health_per100,domain_housing_n,domain_housing_per100,domain_immigration_n,domain_immigration_per100,domain_social_policy_n,domain_social_policy_per100,policy_frame_funding_n,policy_frame_funding_per100,theme_anti_discrimination_n,theme_anti_discrimination_per100,theme_equal_opportunity_n,theme_equal_opportunity_per100,theme_invisibility_n,theme_invisibility_per100
1971-06,ethnic_appeared,11,3,27.2727,1,9.0909,1,9.0909,6,54.5455,5,45.4545,1,9.0909,7,63.6364,0,0.0,1,9.0909,7,63.6364,0,0.0,0,0.0,0,0.0
1971-06,panethnic_appeared,5,1,20.0,0,0.0,1,20.0,2,40.0,4,80.0,1,20.0,3,60.0,0,0.0,2,40.0,3,60.0,0,0.0,0,0.0,0,0.0
1971-08,ethnic_appeared,29,1,3.4483,1,3.4483,5,17.2414,12,41.3793,5,17.2414,1,3.4483,9,31.0345,0,0.0,3,10.3448,8,27.5862,4,13.7931,0,0.0,0,0.0
1971-08,panethnic_appeared,4,0,0.0,0,0.0,0,0.0,2,50.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0
1971-10,ethnic_appeared,3,0,0.0,0,0.0,0,0.0,2,66.6667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,66.6667,0,0.0,0,0.0,0,0.0
1972-06,ethnic_appeared,70,0,0.0,6,8.5714,2,2.8571,30,42.8571,8,11.4286,0,0.0,3,4.2857,2,2.8571,1,1.4286,5,7.1429,1,1.4286,1,1.4286,2,2.8571
1972-06,panethnic_appeared,15,0,0.0,2,13.3333,1,6.6667,5,33.3333,5,33.3333,0,0.0,2,13.3333,1,6.6667,0,0.0,1,6.6667,0,0.0,2,13.3333,0,0.0
1972-08,ethnic_appeared,91,1,1.0989,8,8.7912,7,7.6923,14,15.3846,5,5.4945,10,10.989,3,3.2967,3,3.2967,11,12.0879,5,5.4945,0,0.0,0,0.0,0,0.0
1972-08,panethnic_appeared,38,2,5.2632,1,2.6316,0,0.0,4,10.5263,5,13.1579,0,0.0,0,0.0,0,0.0,1,2.6316,3,7.8947,0,0.0,0,0.0,1,2.6316
1972-10,ethnic_appeared,82,0,0.0,3,3.6585,9,10.9756,22,26.8293,7,8.5366,9,10.9756,3,3.6585,1,1.2195,3,3.6585,6,7.3171,2,2.439,0,0.0,1,1.2195
1972-10,panethnic_appeared,41,2,4.878,0,0.0,1,2.439,3,7.3171,9,21.9512,4,9.7561,1,2.439,1,2.439,1,2.439,4,9.7561,1,2.439,1,2.439,1,2.439
1972-11,ethnic_appeared,133,8,6.015,9,6.7669,7,5.2632,28,21.0526,16,12.0301,5,3.7594,10,7.5188,3,2.2556,8,6.015,16,12.0301,4,3.0075,0,0.0,1,0.7519
1972-11,panethnic_appeared,62,0,0.0,3,4.8387,0,0.0,6,9.6774,18,29.0323,5,8.0645,2,3.2258,0,0.0,5,8.0645,3,4.8387,2,3.2258,1,1.6129,1,1.6129
1973-03,ethnic_appeared,19,2,10.5263,1,5.2632,0,0.0,7,36.8421,7,36.8421,4,21.0526,1,5.2632,0,0.0,3,15.7895,6,31.5789,1,5.2632,0,0.0,0,0.0
1973-03,panethnic_appeared,11,1,9.0909,3,27.2727,1,9.0909,5,45.4545,4,36.3636,4,36.3636,3,27.2727,0,0.0,6,54.5455,6,54.5455,0,0.0,0,0.0,0,0.0
1973-04,ethnic_appeared,4,0,0.0,0,0.0,1,25.0,1,25.0,2,50.0,3,75.0,1,25.0,3,75.0,1,25.0,2,50.0,0,0.0,0,0.0,1,25.0
1973-05,ethnic_appeared,27,3,11.1111,2,7.4074,3,11.1111,13,48.1481,13,48.1481,4,14.8148,4,14.8148,5,18.5185,5,18.5185,8,29.6296,3,11.1111,0,0.0,1,3.7037
1973-05,panethnic_appeared,23,5,21.7391,5,21.7391,3,13.0435,8,34.7826,10,43.4783,4,17.3913,5,21.7391,3,13.0435,5,21.7391,8,34.7826,2,8.6957,0,0.0,0,0.0
1973-06,ethnic_appeared,12,4,33.3333,4,33.3333,1,8.3333,5,41.6667,8,66.6667,1,8.3333,3,25.0,3,25.0,4,33.3333,7,58.3333,2,16.6667,0,0.0,0,0.0
1973-06,panethnic_appeared,7,3,42.8571,2,28.5714,1,14.2857,4,57.1429,4,57.1429,0,0.0,1,14.2857,1,14.2857,1,14.2857,6,85.7143,1,14.2857,0,0.0,1,14.2857
1973-07,ethnic_appeared,12,2,16.6667,1,8.3333,0,0.0,4,33.3333,3,25.0,3,25.0,7,58.3333,3,25.0,2,16.6667,6,50.0,1,8.3333,0,0.0,0,0.0
